,int_list,area,ecc,patch,time,tfmt,cx,cy,geom,angle
0,0,2435,0.7096476249969473,"Ellipse(xy=(-145.5316809637584, -71.87528455554089), width=500, height=125, angle=70.75807617509685)",12900.0,2021-10-27 03:35:00,-145531.68096375838,-71875.28455554089,"LINEARRING (-86.52321328639928 -92.47263250060568, -64.67329117916003 -29.87571828346394, -49.93284815536744 32.33608205949609, -45.54829569601409 80.46134160639632, -41.16374323666074 128.5866011532966, -47.49306062921377 158.6961056270857, -63.1422891834992 164.1585861538956, -78.79151773778463 169.6210666807054, -102.4829672586896 149.9905359209114, -128.9988709801897 109.5903904192245, -155.5147747016899 69.1902449175377, -182.6902265338782 11.31897760666565, -204.5401486411175 -51.27793661047609, -226.3900707483567 -113.8748508276178, -241.1305137721494 -176.0866511705779, -245.5150662315027 -224.2119107174781, -249.899618690856 -272.3371702643783, -243.570301298303 -302.4466747381675, -227.9210727440176 -307.9091552649773, -212.2718441897321 -313.3716357917871, -188.5803946688272 -293.7411050319932, -162.064490947327 -253.3409595303063, -135.5485872258269 -212.9408140286195, -108.3731353936385 -155.0695467177474, -86.52321328639928 -92.47263250060568)",70.75807617509685
1,1,1892,0.3969200965355224,"Ellipse(xy=(-134.39973188443295, -27.34748823823268), width=500, height=125, angle=68.65583968481607)",12960.0,2021-10-27 03:36:00,-134399.73188443296,-27347.48823823268,"LINEARRING (-76.18654578606544 -50.09556429483208, -52.05510462908168 11.65770536182381, -35.04248463376936 73.28691534657941, -28.89551788552772 121.2189475017191, -22.74855113728607 169.1509796568588, -27.96911024387137 199.4723958659914, -43.40742765803535 205.5052561552374, -58.84574507219932 211.5381164444833, -83.24135055921492 192.7898644930426, -111.221395174788 153.3895851788566, -139.2014397903611 113.9893058646706, -168.4814768258167 57.15385747502261, -192.6129179828005 -4.599412181633276, -216.7443591397842 -66.35268183828916, -233.7569791350965 -127.9818918230447, -239.9039458833382 -175.9139239781844, -246.0509126315798 -223.8459561333241, -240.8303535249945 -254.1673723424568, -225.3920361108306 -260.2002326317028, -209.9537186966666 -266.2330929209487, -185.558113209651 -247.484840969508, -157.5780685940779 -208.084561655322, -129.5980239785048 -168.684282341136, -100.3179869430492 -111.848833951488, -76.18654578606544 -50.09556429483208)",68.65583968481607
2,2,2361,0.6971707598244617,"Ellipse(xy=(-139.9657064240966, -49.61138639688725), width=500, height=125, angle=71.32484022680605)",13020.0,2021-10-27 03:37:00,-139965.7064240966,-49611.38639688725,"LINEARRING (-80.75638214413974 -69.62403035791627, -59.52672127349503 -6.814044966116938, -45.40238221373454 55.54052029237014, -41.49408669900329 103.7067961801203, -37.58579118427204 151.8730720678705, -44.21263423203071 181.9184955052791, -59.91513057998054 187.2259107229402, -75.61762692793037 192.5333259406014, -99.11373730154901 172.66940599454, -125.2287161146649 132.0089486887516, -151.3436949277808 91.34849138296318, -177.9453698334088 33.21124295594108, -199.1750307040535 -29.59874243585823, -220.4046915746982 -92.40872782765756, -234.5290306344586 -154.7632930861446, -238.4373261491899 -202.9295689738948, -242.3456216639212 -251.095844861645, -235.7187786161625 -281.1412682990535, -220.0162822682126 -286.4486835167147, -204.3137859202628 -291.7560987343759, -180.8176755466442 -271.8921787883145, -154.7026967335283 -231.2317214825261, -128.5877179204124 -190.5712641767377, -101.9860430147844 -132.4340157497156, -80.75638214413974 -69.62403035791627)",71.32484022680605
3,3,2110,0.5876424267847181,"Ellipse(xy=(-139.9657064240966, -49.61138639688725), width=500, height=125, angle=72.87534943395949)",13080.0,2021-10-27 03:38:00,-139965.7064240966,-49611.38639688725,"LINEARRING (-80.23655515327367 -68.01460591052539, -60.71419169328436 -4.653181600960671, -48.28222565956216 58.06073219005045, -45.67865327094809 106.3151238818186, -43.07508088233402 154.5695155735867, -50.51247229215284 184.4246278214071, -66.35282836954401 189.3052186864045, -82.19318444693519 194.1858095514018, -105.1432102811003 173.6934004074295, -130.1484290671801 132.3412065093348, -155.1536478532598 90.98901261124018, -180.1724942349302 32.15325742631563, -199.6948576949195 -31.2081668832491, -219.2172211549088 -94.56959119281382, -231.649187188631 -157.2835049838249, -234.2527595772451 -205.5378966755931, -236.8563319658592 -253.7922883673612, -229.4189405560404 -283.6474006151817, -213.5785844786492 -288.527991480179, -197.738228401258 -293.4085823451763, -174.7882025670929 -272.9161732012039, -149.7829837810131 -231.5639793031093, -124.7777649949334 -190.2117854050147, -99.75891861326298 -131.3760302200901, -80.23655515327367 -68.01460591052539)",72.87534943395949
4,4,2040,0.5588106975850835,"Ellipse(xy=(-128.8337573447693, -44.04541185722407), width=500, height=125, angle=74.59051180394978)",13140.0,2021-10-27 03:39:00,-128833.75734476931,-44045.41185722407,"LINEARRING (-68.58054391648832 -60.65264737569674, -50.96338254877209 3.26470856887024, -40.41406144624546 66.32262311356308, -39.25594613385502 114.6333225045731, -38.09783082146458 162.9440218955832, -46.42547628473689 192.5631515139708, -62.40481527087863 196.9674418558998, -78.38415425702037 201.3717321978289, -100.7105445163415 180.2015924651465, -124.4668577406907 138.1195002083214, -148.2231709650399 96.03740795149623, -171.469809405334 36.47917960581559, -189.0869707730503 -27.4381763387514, -206.7041321407665 -91.35553228331838, -217.2534532432932 -154.4134468280112, -218.4115685556836 -202.7241462190212, -219.569683868074 -251.0348456100313, -211.2420384048017 -280.6539752284189, -195.26269941866 -285.058265570348, -179.2833604325182 -289.462555912277, -156.9569701731972 -268.2924161795946, -133.2006569488479 -226.2103239227695, -109.4443437244987 -184.1282316659444, -86.19770528420457 -124.5700033202637, -68.58054391648832 -60.65264737569674)",74.59051180394978
5,5,1945,0.4860165281741262,"Ellipse(xy=(-123.26778280510567, -38.479437317560894), width=500, height=125, angle=79.28328626011773)",13200.0,2021-10-27 03:40:00,-123267.78280510567,-38479.43731756089,"LINEARRING (-61.85787068215307 -50.1015151460406, -49.52902640793673 15.04288111689785, -44.17401563694709 78.75247711383213, -46.97221733491261 126.9959738152823, -49.77041903287815 175.2394705167325, -60.49337242545225 204.0780001056954, -76.77947149118685 207.1602111742495, -93.06557055692147 210.2424222428036, -113.585127444384 187.3166659094785, -133.8189479233321 143.432073903274, -154.0527684022803 99.54748189706942, -172.3488506538419 38.28703677385725, -184.6776949280583 -26.85735948908119, -197.0065392022746 -92.00175575201963, -202.3615499732642 -155.7113517489539, -199.5633482752987 -203.9548484504041, -196.7651465773332 -252.1983451518543, -186.0421931847591 -281.0368747408172, -169.7560941190245 -284.1190858093713, -153.4699950532899 -287.2012968779254, -132.9504381658274 -264.2755405446003, -112.7166176868792 -220.3909485383957, -92.48279720793104 -176.5063565321912, -74.18671495636941 -115.245911408979, -61.85787068215307 -50.1015151460406)",79.28328626011773
6,6,1928,0.44540527583614986,"Ellipse(xy=(-123.26778280510567, -27.34748823823268), width=500, height=125, angle=82.21559014147243)",13260.0,2021-10-27 03:41:00,-123267.78280510567,-27347.48823823268,"LINEARRING (-61.34373706093839 -35.8128623394924, -52.36356324368323 29.87693324408748, -50.27469323621027 93.77705362380101, -55.53717641177212 141.8142389863122, -60.79965958733396 189.8514243488234, -72.98383750417182 218.1036512841226, -89.40628640006679 220.3486947384364, -105.8287352959617 222.5937381927502, -125.1486349597935 198.6483003121793, -143.1110017401854 153.7860858508757, -161.0733685205773 108.923871389572, -176.2116547320178 46.80768144660693, -185.1918285492729 -18.88211413697296, -194.1720023665281 -84.57190972055284, -196.2608723740011 -148.4720301002664, -190.9983891984392 -196.5092154627775, -185.7359060228774 -244.5464008252887, -173.5517281060395 -272.798627760588, -157.1292792101445 -275.0436712149018, -140.7068303142496 -277.2887146692156, -121.3869306504178 -253.3432767886447, -103.4245638700259 -208.481062327341, -85.46219708963405 -163.6188478660373, -70.32391087819357 -101.5026579230723, -61.34373706093839 -35.8128623394924)",82.21559014147243
7,7,2007,0.5518969107503491,"Ellipse(xy=(-123.26778280510567, -44.04541185722407), width=500, height=125, angle=81.45680624385639)",13320.0,2021-10-27 03:42:00,-123267.78280510567,-44045.41185722407,"LINEARRING (-61.46127325707186 -53.33009696167458, -51.61196416817546 12.23501476759809, -48.67705505657047 76.10186901106788, -53.30292558806511 124.2045324357805, -57.92879611955976 172.307195860493, -69.73776445498544 200.7182990626871, -86.1290423873036 203.1806263349112, -102.5203203196218 205.6429536071353, -122.1556326088202 181.95546683419, -140.7105296338367 137.3350600328578, -159.2654266588532 92.71465323152573, -175.2249832642431 30.80438497649912, -185.0742923531395 -34.76072675277355, -194.9236014420359 -100.3258384820462, -197.8585105536409 -164.192692725516, -193.2326400221462 -212.2953561502286, -188.6067694906516 -260.3980195749412, -176.7978011552259 -288.8091227771352, -160.4065232229077 -291.2714500493593, -144.0152452905896 -293.7337773215834, -124.3799330013912 -270.0462905486381, -105.8250359763746 -225.425883747306, -87.27013895135808 -180.8054769459739, -71.31058234596827 -118.8952086909473, -61.46127325707186 -53.33009696167458)",81.45680624385639
8,8,1890,0.42470817531406024,"Ellipse(xy=(-128.8337573447693, -32.91346277789678), width=500, height=125, angle=79.96767351931659)",13380.0,2021-10-27 03:43:00,-128833.75734476931,-32913.462777896784,"LINEARRING (-67.28940588483479 -43.80119915310605, -55.73956013008174 21.48581202555061, -51.14591236588078 85.25482615207171, -54.52016019299376 133.4614580436129, -57.89440802010674 181.6680899351541, -68.96105904926807 210.376481623153, -85.28281184393225 213.2639430618413, -101.6045646385964 216.1514045005296, -121.8488203782875 192.9821872530957, -141.5570167150896 148.8590424889767, -161.2652130518916 104.7358977248578, -178.8282630499508 43.26128477596914, -190.3781088047038 -22.02572640268752, -201.9279545594569 -87.31273758134418, -206.5216023236578 -151.0817517078653, -203.1473544965449 -199.2883835994065, -199.7731066694319 -247.4950154909477, -188.7064556402705 -276.2034071789466, -172.3847028456064 -279.0908686176349, -156.0629500509422 -281.9783300563232, -135.8186943112511 -258.8091128088892, -116.1104979744491 -214.6859680447703, -96.40230163764701 -170.5628232806514, -78.83925163958783 -109.0882103317627, -67.28940588483479 -43.80119915310605)",79.96767351931659
9,9,2096,0.5938797328627553,"Ellipse(xy=(-123.26778280510567, -38.479437317560894), width=500, height=125, angle=79.9702753073868)",13440.0,2021-10-27 03:44:00,-123267.78280510567,-38479.43731756089,"LINEARRING (-61.72293699903926 -49.36437896680783, -50.17605592424165 15.92315662035541, -45.58530390092977 79.69237927760956, -48.96174077654607 127.8988578956367, -52.33817765216237 176.1053365136639, -63.40613231132708 204.8132256380053, -79.72801620811789 207.6999459067047, -96.0499001049087 210.5866661754041, -116.2931037149418 187.4165296648967, -135.9992964096461 143.2924900016415, -155.7054891043504 99.16845033838635, -173.2657475363745 37.69303991884929, -184.8126286111721 -27.59449566831395, -196.3595096859697 -92.8820312554772, -200.9502617092816 -156.6512539127314, -197.5738248336653 -204.8577325307585, -194.197387958049 -253.0642111487857, -183.1294332988842 -281.7721002731271, -166.8075494020935 -284.6588205418265, -150.4856655053026 -287.5455408105259, -130.2424618952695 -264.3754043000185, -110.5362692005652 -220.2513646367633, -90.83007650586094 -176.1273249735081, -73.26981807383687 -114.6519145539711, -61.72293699903926 -49.36437896680783)",79.9702753073868
